old_path,new_path,notes
targetuser.core,target_user.core,1:1 rename + snake_case root object. Source legacy field list in proposal Appendix A.5.
targetuser.segments[],target_user.priority_segment,"NOT 1:1. Legacy stored multiple early-adopter segments; v5.3 stores only the prioritized (P0) segment as a single string. If you need to preserve the full list, add a new field (e.g., target_user.segments[]) or store raw list elsewhere."
problem.problemstatement,problem.one_line,"1:1 semantic intent (core problem statement) but name changed. In v5.3, one_line is the extracted #1 problem."
problem.existingalternatives[],alternatives.current_solutions[],1:1 list rename + moved from problem.* to alternatives.* per v5.3 Stage 1 schema.
market.segment,market_strategy.market_size.initial_segment_definition,Mostly 1:1. Legacy 'segment' becomes explicit 'initial_segment_definition' under market_size.
market.competitors,market_strategy.competition.named_competitors[],PARTIAL. Legacy competitors could mix competitor *types* + *named competitors*. v5.3 splits into competitor_types[] and named_competitors[]. Default mapping targets named_competitors[]; consider splitting if your prompt captures types.
pricinghypothesis,market_strategy.business_model.initial_price_point_raw,"NOT 1:1. Legacy single field is split in v5.3 across revenue_model, pricing_unit, initial_price_point_raw/normalized, price_rationale (and possibly currency/secondary_revenue_streams). For pure schemapath replacement, map to initial_price_point_raw and adjust question bank to populate the other fields."
techstack,tech_execution.architecture.tech_stack_choices,"NOT 1:1. Legacy free-text; v5.3 expects an array of objects {component, tech, rationale}. For migration, store as a single entry (component='overall') or refactor prompts to collect per-component choices."
architecturenotes,tech_execution.architecture.architecture_style,PARTIAL. Legacy notes may include components + style. v5.3 separates architecture_style (string) and high_level_components[] (list). Default mapping to architecture_style; split if needed.
complianceflags,tech_execution.security_compliance.compliance_requirements[],Mostly 1:1 list (flags -> requirements). Note v5.3 also tracks data_types[] and authn_authz_model; consider enhancing prompts accordingly.
risk.premortemfailurereason,market_strategy.viability_risks.top_viability_risks[],"Context-dependent. Proposal cites this as an example schemapath. Best default is Stage 2 viability risks. If this question lives in Stage 3 tech, map instead to tech_execution.roadmap_risks.top_technical_risks[]."
